rowid,profId,univId,profDept,Class,Easiness,Helpfulness,Clarity,RaterInterest
1,23287,825,Economics,"econ 301",2,4,1,4
2,23287,825,Economics,ECON-102,4,5,5,5
3,23287,825,Economics,INTROMACRO,2,4,5,4
4,23287,825,Economics,"Econ 301",1,2,1,4
5,23287,825,Economics,MB,2,1,1,4
6,23287,825,Economics,IntroMacro,3,5,5,2
7,23287,825,Economics,IntroMacro,5,5,5,4
8,23287,825,Economics,"ECON 102",3,3,3,1
9,23287,825,Economics,ECON103,4,5,5,4
10,23287,825,Economics,MACRO,1,3,1,5
11,23287,825,Economics,ECON-103,2,2,4,2
12,23287,825,Economics,"macro 101",4,4,5,4
13,23287,825,Economics,"ECON 103",4,3,4,2
14,23287,825,Economics,INTRO-MACRO,4,5,5,3
15,23287,825,Economics,Macro,2,5,5,4
16,23287,825,Economics,"ECON 103",4,5,4,4
17,23287,825,Economics,"ECON 103",2,2,3,2
18,23287,825,Economics,Macro,4,5,5,4
19,23287,825,Economics,Macro,4,5,5,4
20,23287,825,Economics,INTROMACRO,2,5,5,3
21,23287,825,Economics,"Intro Macro 103",4,5,4,3
22,23287,825,Economics,"intro to macro",2,1,3,1
23,23287,825,Economics,"Econ 103",4,5,3,4
24,23287,825,Economics,Econ103,5,5,5,5
25,23287,825,Economics,Macro101,3,3,4,3
26,23287,825,Economics,ECON103,3,5,5,4
27,23287,825,Economics,MACRO103,4,5,4,2
28,23287,825,Economics,Macro0000,1,4,2,1
29,23287,825,Economics,ECON103,3,4,4,4
30,23287,825,Economics,ECON103,3,5,4,2
31,23287,825,Economics,MACRO101,4,5,5,2
32,23287,825,Economics,Econ103,2,5,4,5
33,23287,825,Economics,MACRO102,4,4,2,4
34,23287,825,Economics,Macro103,4,5,5,4
35,23287,825,Economics,ECON301,4,4,4,5
36,23287,825,Economics,MACRO101,4,5,4,4
37,23287,825,Economics,Macro103,4,5,5,5
38,23287,825,Economics,Macro102,4,5,4,4
39,23287,825,Economics,Macro101,3,4,4,4
40,23287,825,Economics,Macro101,1,3,1,5
41,23287,825,Economics,Macro103,2,5,5,2
42,23287,825,Economics,macro103,2,5,5,2
43,23287,825,Economics,Econ301,1,1,1,3
44,23287,825,Economics,MoneyBank,1,2,2,4
45,23287,825,Economics,Macro103,1,2,2,4
46,23287,825,Economics,Macro101,3,1,3,5
47,23287,825,Economics,Money3,1,2,2,4
48,23287,825,Economics,Money12,2,2,2,4
49,23287,825,Economics,Macro103,1,2,2,1
50,23287,825,Economics,MACRO101,1,2,3,2
51,23287,825,Economics,Macro103,1,1,1,4
52,23287,825,Economics,Macro103,1,2,2,3
53,23287,825,Economics,Macro1,5,5,5,2
54,23287,825,Economics,EC102,3,2,3,3
55,23287,825,Economics,Macro101,1,1,2,3
56,23287,825,Economics,EcoMacr,5,5,5,5
57,23287,825,Economics,MACRO101,5,5,5,5
58,23287,825,Economics,ECO103,5,5,5,3
59,23287,825,Economics,Macro103,3,5,5,4
60,23287,825,Economics,Econ103,3,3,3,3
61,23287,825,Economics,Macro1,5,5,5,3
62,23287,825,Economics,MB301,4,4,4,3
63,23287,825,Economics,Macro103H,4,3,2,3
64,23287,825,Economics,Macro103,4,5,5,5
65,23287,825,Economics,Macro103,4,3,5,3
66,23287,825,Economics,ECO01,4,3,5,4
67,23287,825,Economics,mac01,3,2,2,4
68,23287,825,Economics,Macro103,4,5,3,4
69,23287,825,Economics,macro2,5,5,5,1
70,23287,825,Economics,macroecon,3,5,4,3
71,23287,825,Economics,Econ103,3,3,3,2
72,23287,825,Economics,MACRO03,3,4,5,3
73,23287,825,Economics,Macro1,2,3,3,3
74,23287,825,Economics,Macro103,5,5,5,5
75,23287,825,Economics,MoneyBank,4,4,5,5
76,23287,825,Economics,Econ103,5,4,4,4
77,23287,825,Economics,ECON103,3,3,5,3
78,23287,825,Economics,macro000,5,3,5,5
79,23287,825,Economics,MACRO101,3,4,5,4
80,23287,825,Economics,ECON103,2,2,4,2
81,23287,825,Economics,econ103,4,5,4,1
82,23287,825,Economics,Econ103,3,2,2,2
83,23287,825,Economics,ECON103,4,3,4,5
84,23287,825,Economics,Macro103,3,4,5,5
85,23287,825,Economics,ECON103,4,5,4,4
86,23287,825,Economics,econ103,2,1,2,3
87,23287,825,Economics,econ104,2,1,1,4
88,23287,825,Economics,Macro103,3,3,3,2
89,23287,825,Economics,Macro103,2,2,4,3
90,23287,825,Economics,Econ103,2,2,4,1
91,23287,825,Economics,MACRO103,2,1,1,5
92,23287,825,Economics,Macro103,2,3,3,1
93,23287,825,Economics,MB301,2,3,4,3
94,23287,825,Economics,Money322,2,5,2,4
95,23287,825,Economics,Money322,2,5,2,4
96,23287,825,Economics,ECON103,3,3,3,4
97,23287,825,Economics,Econ103,4,5,5,1
98,23287,825,Economics,macro103,5,2,4,4
99,23287,825,Economics,MACRO103,4,5,4,2
100,23287,825,Economics,macro103,3,4,1,3
101,23287,825,Economics,Macro103,2,4,4,2
102,23287,825,Economics,macro103,2,4,3,3
103,23287,825,Economics,Macro103,4,5,5,4
104,23287,825,Economics,IntroMacr,2,3,5,1
105,23287,825,Economics,IntroMacr,2,4,3,2
106,23287,825,Economics,Macro103,2,4,3,2
107,23287,825,Economics,Macro103,3,4,4,3
108,23287,825,Economics,MACRO103,3,4,3,4
109,23287,825,Economics,inmac198,2,1,2,1
110,23287,825,Economics,macro103,1,3,3,2
111,23287,825,Economics,intromacr,5,5,5,2
112,23287,825,Economics,MACRO101,1,1,1,1
113,23287,825,Economics,Macro103,2,2,2,3
114,23287,825,Economics,Macro103,1,2,2,1
115,23287,825,Economics,Macro103,3,4,4,4
116,23287,825,Economics,Econ103,4,2,3,4
117,23287,825,Economics,Eco102,1,1,3,4
118,23287,825,Economics,macro103,1,1,1,1
119,23287,825,Economics,Econ103,2,3,3,1
120,23287,825,Economics,Econ103,2,3,2,3
121,23287,825,Economics,ECON321,1,1,1,2
122,23287,825,Economics,ECON321,2,5,5,4
123,23287,825,Economics,econ301,2,4,3,4
124,23287,825,Economics,macro103,3,5,5,2
125,23287,825,Economics,MACRO103,2,5,5,5
126,23287,825,Economics,MACRO101,3,5,5,5
127,23287,825,Economics,macro103,3,2,4,4
128,23287,825,Economics,ECON103,4,1,1,3
129,23287,825,Economics,ECON103,3,4,5,4
130,23287,825,Economics,ECON103,4,3,4,3
131,23287,825,Economics,econ103,4,5,4,5
132,23287,825,Economics,Macro103,4,4,4,4
133,23287,825,Economics,Macro103,5,3,3,1
134,23287,825,Economics,Macro103,1,3,3,1
135,23287,825,Economics,Macro101,2,5,5,5
136,23287,825,Economics,macro220,4,5,5,1
137,23287,825,Economics,ECON01,1,1,1,1
138,23287,825,Economics,MACRO101,2,5,4,4
139,23287,825,Economics,Macro103,3,2,4,4
140,23287,825,Economics,econ103,2,1,2,2
141,23287,825,Economics,macro101,2,1,2,1
142,23287,825,Economics,ECON103,2,2,2,1
143,23287,825,Economics,Macro102,3,2,4,4
144,23287,825,Economics,IntroMacr,2,1,2,1
145,23287,825,Economics,MacroH1,2,2,4,3
146,23287,825,Economics,macro103,1,1,1,2
147,23287,825,Economics,macro103,3,2,3,2
148,23287,825,Economics,ECON103,2,2,2,2
149,23287,825,Economics,econ103,3,2,2,2
150,23287,825,Economics,Macro103,2,1,3,2
151,23287,825,Economics,ECON103,2,1,1,1
152,23287,825,Economics,MACROEcon,2,5,4,3
153,23287,825,Economics,MACRO103,1,1,4,2
154,23287,825,Economics,Macro103,2,4,4,4
155,23287,825,Economics,ECON103,3,1,3,4
156,23287,825,Economics,macro103,3,4,4,3
157,23287,825,Economics,econ103,2,2,4,4
158,23287,825,Economics,Macro102,2,3,3,4
159,23287,825,Economics,Macro103,3,5,5,4
160,23287,825,Economics,Macro103,3,5,5,4
161,23287,825,Economics,MICRO101,1,1,1,3
162,23287,825,Economics,ECON103,4,4,5,4
163,23287,825,Economics,MACRO102,4,3,2,5
164,23287,825,Economics,econ102,2,3,4,2
165,23287,825,Economics,Macro103,4,3,3,5
166,23287,825,Economics,Macro04,1,1,2,1
167,23287,825,Economics,ECON220,4,5,4,4
168,23287,825,Economics,MACRO103,3,4,5,4
169,23287,825,Economics,ECO220,4,4,4,2
170,23287,825,Economics,Econ103,4,3,3,2
171,23287,825,Economics,econ103,5,1,2,3
172,23287,825,Economics,Macro103,4,3,3,3
173,23287,825,Economics,MACRO103,3,3,3,5
174,23287,825,Economics,Econ103,4,5,5,5
175,23287,825,Economics,econ103,5,1,2,1
176,23287,825,Economics,ECONMCRO,5,5,4,3
177,23287,825,Economics,macro103,4,3,3,3
178,23287,825,Economics,Econ103,5,3,3,4
179,23287,825,Economics,Econ102,4,4,4,3
180,23287,825,Economics,INTRMACR,3,1,5,4
181,23287,825,Economics,Macro101,4,1,1,2
182,23287,825,Economics,macro103,1,1,1,5
183,23287,825,Economics,Econ103,2,1,2,5
184,23287,825,Economics,Econ301,4,4,3,4
185,23287,825,Economics,MoneyBank,4,4,3,3
186,23287,825,Economics,macro103,3,3,3,3
187,23287,825,Economics,Macro103,4,3,4,5
188,23287,825,Economics,ECON103,2,1,2,1
189,23287,825,Economics,ECON103,5,4,4,3
190,23287,825,Economics,ECON103,4,5,4,4
191,23287,825,Economics,ECON102,4,1,4,4
192,23287,825,Economics,Macro103,3,3,3,3
193,23287,825,Economics,MACRO103,4,4,4,4
194,23287,825,Economics,Macr103,4,5,5,2
195,23287,825,Economics,MACRO103,5,5,5,5
196,23287,825,Economics,MACRO103,4,5,5,5
197,23287,825,Economics,MACROECON,4,4,5,5
198,23287,825,Economics,MacroEcon,4,5,4,4
199,23287,825,Economics,Macro101,4,5,5,2
200,23287,825,Economics,Econ104,5,5,5,5
201,23287,825,Economics,MacroSECT,1,2,2,3
202,23287,825,Economics,MACRO102,4,4,5,5
203,23287,825,Economics,Econ103,2,3,4,3
204,23287,825,Economics,Macro103,3,2,2,3
205,23287,825,Economics,MACRO103,5,5,5,3
206,23287,825,Economics,ECON103,3,2,2,4
207,23287,825,Economics,Macro103,4,4,5,4
208,23287,825,Economics,Macro103,5,5,5,4
209,23287,825,Economics,Macro103,3,4,3,3
210,23287,825,Economics,ECON01,2,5,2,2
211,23287,825,Economics,Macro103,3,1,1,3
212,23287,825,Economics,IntroMacr,3,1,1,3
213,23287,825,Economics,macro1,1,2,2,5
214,23287,825,Economics,Macro103,4,1,2,3
215,23287,825,Economics,Econ104,5,4,5,4
216,23287,825,Economics,intromarc,2,1,1,3
217,23287,825,Economics,Macro101,2,2,2,1
218,23287,825,Economics,Econ103,3,5,4,4
219,23287,825,Economics,macro103,5,5,5,5
220,23287,825,Economics,Econ103,4,5,5,5
221,23287,825,Economics,mandb301,1,5,5,5
222,23287,825,Economics,macroSECT,2,2,2,3
223,23287,825,Economics,IntroMacr,4,4,4,4
224,23287,825,Economics,MacroEcon,1,2,1,5
225,23287,825,Economics,econo301,3,5,5,3
226,23287,825,Economics,econ103,3,2,2,4
227,23287,825,Economics,econ103,1,2,2,2
228,23287,825,Economics,econ301,1,1,2,2
229,23287,825,Economics,MandB301,1,2,2,5
230,23287,825,Economics,ECON103,1,5,3,1
231,23287,825,Economics,intromacr,2,3,2,1
232,23287,825,Economics,ECON103,3,5,5,4
233,23287,825,Economics,MONEY301,1,1,1,5
