rowid,univid,profDept,profRatings,profAvg,profEasy,profId
1,825,Economics,350,3.3,3,23287
2,825,Economics,282,2.9,2.4,158893
3,825,Psychology,255,4.1,3.3,78210
4,825,Psychology,252,3.9,3.6,15782
5,825,Biology,246,3.6,1.8,60282
6,825,Psychology,239,4,3.4,81132
7,825,Psychology,238,4.3,4.1,5608
8,825,Psychology,231,4.8,4.2,461604
9,825,Chemistry,219,2.5,2.2,432332
10,825,Chemistry,216,2.4,1.9,681190
11,825,"Journalism & Media Studies",171,3.9,3.3,604
12,825,Economics,165,3.2,2.8,2252
13,825,Psychology,161,2.8,2.7,273163
14,825,Psychology,160,4,4.2,36466
15,825,Theater,159,4.7,4.8,83509
16,825,Science,144,2.8,2.3,18893
17,825,Psychology,139,3.5,3.7,6526
18,825,Psychology,137,2.4,2.7,24038
19,825,Sociology,134,4.1,3.6,178051
20,825,Chemistry,134,4.2,3,771912
21,825,Psychology,131,3.6,2.8,847619
22,825,Biology,131,2.7,2.1,212385
23,825,Economics,123,3.6,3.4,84951
24,825,Mathematics,122,3.3,2.7,210274
25,825,"Criminal Justice",121,3,2.7,55844
26,825,"Political Science",116,4.2,4.1,85863
27,825,Psychology,116,2.9,2.9,87512
28,825,Physics,116,3.6,3.5,179712
29,825,Physics,113,4.8,3.6,60663
30,825,Psychology,113,2.9,2.5,99344
31,825,Geography,111,3.7,3.8,177713
32,825,Humanities,111,4.8,4.1,12462
33,825,Economics,108,3.7,3.2,265444
34,825,Science,108,1.7,1.6,72446
35,825,Meteorology,107,3.5,3.2,117546
36,825,Science,105,2.1,2.2,87673
37,825,"Political Science",105,3.4,3.5,74521
38,825,Psychology,103,3.2,3.2,1194959
39,825,Communication,101,4.3,3.9,124131
40,825,Sociology,99,3.5,3.4,229614
41,825,"Computer Science",99,2.9,4,110535
42,825,Biology,98,2,2.7,388849
43,825,Mathematics,98,3,2.4,209196
44,825,Business,97,2.5,2.4,107473
45,825,Mathematics,97,2.7,2.3,264639
46,825,Chemistry,95,4.2,2.9,445220
47,825,Statistics,92,4,3.5,479534
48,825,Mathematics,91,4.3,3.3,681017
49,825,English,90,4.7,4.1,53367
50,825,Philosophy,90,3.5,4.3,283173
51,825,English,89,4,2.2,108181
52,825,Mathematics,89,3,2.3,244619
53,825,Psychology,89,4.5,4.1,1312531
54,825,Psychology,88,3.2,3.7,161772
55,825,"American Studies",87,4.1,3.7,275998
56,825,History,87,3.1,2.5,32863
57,825,History,87,3.4,4.1,176853
58,825,Psychology,87,3.6,3.2,778335
59,825,Economics,87,4.1,2.5,185212
60,825,Sociology,87,2.9,3.9,210118
61,825,History,86,3,1.5,8003
62,825,Science,86,3.3,2.2,18918
63,825,Economics,86,3.4,3.9,184572
64,825,Religion,85,3,2.8,107351
65,825,"Political Science",83,3.8,3.1,173076
66,825,Psychology,83,3.4,2.7,5609
67,825,Psychology,82,2.2,2.9,778339
68,825,Mathematics,82,2.2,2.7,139874
69,825,Biology,81,3.5,2.3,337622
70,825,Economics,81,3.1,2.3,176877
71,825,"Social Science",81,4,3.8,93973
72,825,Science,80,3.6,2.5,52114
73,825,Mathematics,80,4,4.1,74837
74,825,History,79,4.2,3.2,36995
75,825,"Criminal Justice",79,4.8,4.5,108248
76,825,Law,79,3.8,3.6,277189
77,825,Chemistry,79,2.8,2.6,794206
78,825,Mathematics,79,4,4.1,96752
79,825,History,79,3.9,3.1,108063
80,825,Science,78,2.8,2.9,222520
81,825,"Political Science",77,3.3,2.9,18470
82,825,"Political Science",77,4.8,4.1,944232
83,825,Science,77,1.9,2.1,4005
84,825,Science,76,3.2,2.5,81252
85,825,Chemistry,76,4.9,4.4,354001
86,825,"Political Science",75,3.8,3.5,262138
87,825,Mathematics,75,1.8,2.1,77237
88,825,Communication,74,4.5,3.4,310874
89,825,Philosophy,74,3,3.3,278842
90,825,Sociology,74,3.6,3.8,752284
91,825,Law,73,4.5,2.5,639885
92,825,History,73,3.8,3.3,210964
93,825,Economics,72,2.3,1.7,95904
94,825,"Political Science",72,4,2.7,252411
95,825,Sociology,71,3.4,2.5,325879
96,825,"Social Science",71,4.2,3.3,334329
97,825,Economics,70,3.4,3.7,115456
98,825,Science,70,4.1,3.5,140636
99,825,Philosophy,70,4.3,3.3,105097
100,825,Economics,69,4.4,3.6,104802
101,825,"Computer Science",69,3.6,3.5,313641
102,825,Science,69,4.6,4.2,117284
